top_places_,mentions,total_number_of_views,year
Cusco,2,472286.0,2016
Chicago,5,469264.0,2016
Albert,1,464448.0,2016
Camden,1,464448.0,2016
Notting hill,1,464448.0,2016
Jupiter,2,454724.0,2016
Mangrove cay,2,454516.0,2016
Hill,2,440998.0,2016
Punta cana,7,440668.0,2016
Kyrgyzstan,7,429682.0,2016
Iberia,3,425331.0,2016
San telmo,2,420660.0,2016
Buenos aires,1,412240.0,2016
Avenue,1,412240.0,2016
Da nang,2,405561.0,2016
Constanta,2,405446.0,2016
Cebu city,4,404281.0,2016
Cook,2,403725.0,2016
Sydney,1,394400.0,2016
Bishkek,3,386680.0,2016
Croatia,3,384438.0,2016
Bergen,1,383623.0,2016
Shanghai,3,373678.0,2016
Davis,1,372799.0,2016
Seville,3,370223.0,2016
Strawberry,10,367454.0,2016
Zambia,2,366642.0,2016
Madrid,3,365261.0,2016
Tanglin halt,1,355200.0,2016
Guangzhou,1,355200.0,2016
Jeff,2,342983.0,2016
Kyle,1,338177.0,2016
Ethiopia,2,331490.0,2016
Lodge,1,330190.0,2016
Krk,2,318152.0,2016
Kisumu,2,317379.0,2016
Phuket,1,309122.0,2016
Krabi,1,309122.0,2016
Maxwell,1,308157.0,2016
West end,2,302717.0,2016
Sao joao,1,299448.0,2016
Wellington,2,296977.0,2016
Montenegro,2,290270.0,2016
St. augustine,2,289805.0,2016
Egypt,1,288871.0,2016
Negley,1,274128.0,2016
Toyota,1,268801.0,2016
Warsaw,1,264425.0,2016
Joshua tree,1,250474.0,2016
Chiang mai province,1,241845.0,2016
Bali,1,239216.0,2016
Nancy,1,236364.0,2016
Sao paulo,3,236199.0,2016
Austria,13,233991.0,2016
Christchurch,1,229175.0,2016
Santa lucia,1,228859.0,2016
Bellavista,1,228859.0,2016
Gracias,2,225681.0,2016
Castle,1,223344.0,2016
Victoria,1,223340.0,2016
Cambridge,1,222325.0,2016
Manta,2,220461.0,2016
Venice,2,217528.0,2016
Varna,2,216488.0,2016
Mayo,3,213191.0,2016
Vienna,11,212983.0,2016
Song,4,201195.0,2016
Estonia,6,200591.0,2016
Renault,1,195993.0,2016
Peters,1,195573.0,2016
Kyrenia,2,195367.0,2016
Colorado,6,188751.0,2016
Kuala,1,188694.0,2016
Seattle,3,182641.0,2016
Jaco,3,181368.0,2016
Eu,1,181010.0,2016
Bolivia,7,180691.0,2016
Albufeira,1,175830.0,2016
Beach,1,175830.0,2016
Samsung,1,175317.0,2016
Addis ababa,1,174711.0,2016
Palm beach,2,173073.0,2016
Kumar,1,172938.0,2016
Keith,1,170905.0,2016
Seymour,1,168982.0,2016
Kazimierz,1,168034.0,2016
Kaikoura,1,167887.0,2016
San jose,2,166835.0,2016
Utrecht,1,163092.0,2016
Milan,3,162910.0,2016
Melbourne,1,161362.0,2016
Grimsby,5,156894.0,2016
Heathrow,1,154993.0,2016
Denmark,2,154540.0,2016
Bell,1,149471.0,2016
Ford,1,145220.0,2016
River,1,145186.0,2016
Sintra,2,144217.0,2016
Picton,1,141001.0,2016
La fortuna,2,140419.0,2016
Rainbow,3,137360.0,2016
Athens,1,136651.0,2016
Corinth,1,136651.0,2016
Semarang,2,136479.0,2016
Naples,2,136056.0,2016
Vail,4,134794.0,2016
San pedro,7,124920.0,2016
Rotorua,1,124691.0,2016
Guangdong,1,120948.0,2016
Karak,1,119719.0,2016
Macau,2,118545.0,2016
Yucatan,4,117825.0,2016
Denny,1,114703.0,2016
Julian,1,113544.0,2016
Xochimilco,1,113544.0,2016
Italia,2,112544.0,2016
Del mar,1,112345.0,2016
Bahia,2,111125.0,2016
Max,1,108888.0,2016
Fort bragg,1,108888.0,2016
Java,1,108402.0,2016
Dutch quarter,1,108402.0,2016
Red beach,1,107661.0,2016
Nuuk,3,107481.0,2016
Beijing,2,107239.0,2016
Stellenbosch,1,102801.0,2016
Nicosia,1,99043.0,2016
Tavira,1,98741.0,2016
Santiago,2,94246.0,2016
Century,1,93508.0,2016
Greenland,3,88596.0,2016
United states,2,88114.0,2016
La france,1,87186.0,2016
Prague,4,86829.0,2016
Omaha,1,86721.0,2016
Utah,1,86721.0,2016
Normandy,1,86721.0,2016
Belize,1,86549.0,2016
Jamaica,1,86549.0,2016
Alberta,1,86549.0,2016
Belgrano,2,83158.0,2016
Ravenna,2,80459.0,2016
San marino,2,80459.0,2016
Puno,1,77709.0,2016
Eagle nest,1,77372.0,2016
Jardin,1,73730.0,2016
Selva,1,73730.0,2016
San luis,1,73730.0,2016
Kelowna,1,73282.0,2016
Peachland,1,73282.0,2016
Russia,3,72091.0,2016
Island,1,69332.0,2016
Margaret river,1,68683.0,2016
Washington,2,67938.0,2016
Girona,7,65250.0,2016
Orlando,1,64368.0,2016
Jacksonville,1,64368.0,2016
South beach,1,64368.0,2016
Salzburg,1,64173.0,2016
Coron,1,62165.0,2016
Anaconda,1,55900.0,2016
Amazonas,1,55900.0,2016
Pemberton,3,54483.0,2016
Tallinn,2,54479.0,2016
Trona,1,53387.0,2016
Latvia,3,52842.0,2016
North vancouver,1,52597.0,2016
Castle hill,1,52585.0,2016
Spring,4,51616.0,2016
Colton,1,49999.0,2016
Turda,1,49710.0,2016
Alvord,1,48734.0,2016
Bavaria,1,47875.0,2016
Hunan,1,47776.0,2016
Tostado,1,47182.0,2016
Recoleta,1,47182.0,2016
Faenza,1,44505.0,2016
Modena,1,44505.0,2016
Parma,1,44505.0,2016
Verona,2,42815.0,2016
Vicenza,2,42200.0,2016
Leipzig,3,41156.0,2016
Santa claus,1,39323.0,2016
Kerala,1,38168.0,2016
Mozambique,1,37876.0,2016
Goa,1,37876.0,2016
Kemi,1,37401.0,2016
Charleston,1,35938.0,2016
Pura,1,35938.0,2016
Virginia,2,35707.0,2016
Banana,1,34982.0,2016
Padua,1,34169.0,2016
Kalimantan,2,33863.0,2016
Pavo,1,33106.0,2016
Estrada,1,32934.0,2016
Denver,1,28917.0,2016
National park,3,28725.0,2016
Glasgow,2,27963.0,2016
Bianco,1,27175.0,2016
Valdagno,1,27175.0,2016
Czech republic,2,26126.0,2016
Puerto plata,2,25451.0,2016
Porvoo,1,25134.0,2016
Texas,1,23681.0,2016
Swan,1,22475.0,2016
Usa,1,22078.0,2016
Asolo,1,21965.0,2016
Illinois,1,20279.0,2016
Philo,1,20143.0,2016
South surrey,4,19932.0,2016
Cecina,1,18538.0,2016
Bayeux,1,18082.0,2016
Quedlinburg,1,17839.0,2016
La paz,2,16301.0,2016
Afghanistan,1,16191.0,2016
Belgium,1,15805.0,2016
Elizabeth,1,15805.0,2016
East berlin,1,15680.0,2016
Dobson,1,15543.0,2016
Marlin,1,15076.0,2016
Mongolia,1,14686.0,2016
Atacama,1,14476.0,2016
Wangi,1,14312.0,2016
Nova,1,14312.0,2016
Sigulda,1,14145.0,2016
Arizona,2,13919.0,2016
Ireland,1,13831.0,2016
Wang,1,13018.0,2016
Cass,1,13018.0,2016
Wangi wangi,1,12591.0,2016
Detroit,1,12041.0,2016
Delta,1,12041.0,2016
West hollywood,2,11859.0,2016
Karakol,1,11217.0,2016
Jay,1,11202.0,2016
Viola,1,11071.0,2016
Dublin,1,10984.0,2016
Catalonia,2,10909.0,2016
Paraguay,2,10725.0,2016
Haiti,1,10518.0,2016
Cachi,1,10488.0,2016
Diana,1,10211.0,2016
Arica,1,10189.0,2016
Serbia,1,9050.0,2016
Surrey,1,8890.0,2016
Burbank,1,8543.0,2016
Warner,1,8543.0,2016
Odd,1,8420.0,2016
Uruguay,1,8139.0,2016
El salvador,1,8139.0,2016
Tybee island,1,8016.0,2016
Mark,1,7731.0,2016
Yongin,1,6053.0,2016
Cordoba,1,5982.0,2016
Grand canyon,1,5050.0,2016
Scottsdale,1,4737.0,2016
Quito,1,4699.0,2016
Nashville,1,4684.0,2016
Ayer,1,4378.0,2016
Tata,1,4306.0,2016
Lithuania,1,4048.0,2016
Kennedy,1,3540.0,2016
Virginia beach,1,3133.0,2016
Thailand,111,34177609.0,2015
Bangkok,52,31319154.0,2015
Japan,33,21090289.0,2015
Osaka,18,17528424.0,2015
Taipei,20,15978446.0,2015
Taiwan,21,14141291.0,2015
Canada,93,13184934.0,2015
Manila,9,10492057.0,2015
Malaysia,19,10451183.0,2015
Philippines,23,10378581.0,2015
Ho chi minh city,19,10347834.0,2015
English,30,9052798.0,2015
France,98,8147537.0,2015
Germany,95,7421027.0,2015
Anton,5,6705598.0,2015
Kyoto,9,6405242.0,2015
Italy,21,5660368.0,2015
George town,7,5028835.0,2015
Toronto,30,4972994.0,2015
Paris,55,4503780.0,2015
India,12,4223121.0,2015
Montreal,15,3792995.0,2015
Spanish,15,3694064.0,2015
Tokyo,11,3325383.0,2015
Kobe,1,3257999.0,2015
Akashi,1,3257999.0,2015
Singapore,9,3034464.0,2015
Rome,5,3013516.0,2015
Lada,5,2997058.0,2015
Stockholm,8,2908622.0,2015
Notre dame,4,2856871.0,2015
Hawaii,6,2844876.0,2015
Alaska,18,2734834.0,2015
Arizona,2,2657472.0,2015
Phoenix,2,2657472.0,2015
Bamberg,5,2613572.0,2015
Keelung,1,2601212.0,2015
Hong kong,13,2460516.0,2015
Spain,8,2311049.0,2015
Madrid,7,2283241.0,2015
Panama,68,2202122.0,2015
Max,2,2154017.0,2015
Milan,9,2082066.0,2015
Georgetown,2,2066040.0,2015
Los angeles,2,2009766.0,2015
Krabi,8,1729011.0,2015
Gothenburg,5,1715949.0,2015
Sichuan,2,1648142.0,2015
Egypt,5,1640171.0,2015
Nara,2,1632709.0,2015
Fiji,3,1571697.0,2015
Barcelona,1,1571569.0,2015
Santa eulalia,1,1571569.0,2015
Santa maria,1,1571569.0,2015
Catalonia,1,1571569.0,2015
Tonga,2,1567050.0,2015
New zealand,2,1567050.0,2015
Spring,2,1554475.0,2015
Pulau pinang,3,1472230.0,2015
Pattaya,3,1470502.0,2015
San lorenzo,1,1470392.0,2015
Portugal,9,1421667.0,2015
Lisbon,8,1417019.0,2015
Finland,60,1407581.0,2015
Park,1,1357153.0,2015
Dawson city,1,1316198.0,2015
Margaret,2,1306942.0,2015
Kelantan,3,1284126.0,2015
San francisco,4,1264157.0,2015
David,1,1248473.0,2015
Kyle,4,1234269.0,2015
China,9,1217360.0,2015
Quebec,8,1201168.0,2015
Christmas,17,1184736.0,2015
Indonesia,12,1177730.0,2015
Luxembourg,4,1175450.0,2015
Warsaw,5,1167366.0,2015
Poland,5,1167366.0,2015
Raymond,2,1152770.0,2015
Peru,27,1127505.0,2015
Xining,1,1083444.0,2015
London,20,1074865.0,2015
Lima,24,1072010.0,2015
Holiday,1,1067491.0,2015
Chiang mai,9,1030442.0,2015
Lampang,3,1025756.0,2015
Quebec city,8,994317.0,2015
Sweden,4,980068.0,2015
Santa cruz,1,974585.0,2015
Greece,6,936690.0,2015
Berlin,8,907515.0,2015
Athens,3,890501.0,2015
El nido,7,833721.0,2015
United states,7,800041.0,2015
Salzburg,5,798561.0,2015
Austria,5,798561.0,2015
Avignon,4,739604.0,2015
Cambodia,13,725712.0,2015
Ireland,11,697818.0,2015
Kolkata,1,682661.0,2015
United states of america,6,650594.0,2015
New york,4,639410.0,2015
San miguel,1,639231.0,2015
Tel aviv,1,633351.0,2015
Masala,1,590174.0,2015
Kirk,1,590174.0,2015
Addis ababa,1,580909.0,2015
Kenya,1,580909.0,2015
Ethiopia,1,580909.0,2015
Dublin,9,576092.0,2015
Udon thani,3,570953.0,2015
Romania,6,555726.0,2015
Belgium,5,549090.0,2015
Hamburg,3,541506.0,2015
Honolulu,1,534524.0,2015
Syria,1,500067.0,2015
California,2,496667.0,2015
Vienna,2,496552.0,2015
Mexico,14,491757.0,2015
England,9,479916.0,2015
Ford,3,452888.0,2015
Dublin city,1,444729.0,2015
Phoenix park,1,444729.0,2015
Vancouver,6,443958.0,2015
Nashville,2,438293.0,2015
Ontario,5,421929.0,2015
Ayer,1,410263.0,2015
Phuket,2,384658.0,2015
Okinawa,1,371471.0,2015
Hagi,1,371471.0,2015
South africa,18,363448.0,2015
Palazzo,1,351292.0,2015
Vang,1,343122.0,2015
Varanasi,1,337861.0,2015
Kahuku,1,324133.0,2015
Illinois,7,312163.0,2015
Argentina,4,308439.0,2015
New orleans,2,279898.0,2015
Winnebago,2,277410.0,2015
Padang,1,270001.0,2015
Kimberly,1,260317.0,2015
Florida,5,258465.0,2015
Hainan,1,247457.0,2015
Ferris,1,240985.0,2015
Hommachi,1,240985.0,2015
Rama,1,235860.0,2015
Erica,1,233329.0,2015
Belfast,4,230484.0,2015
Las vegas,8,220600.0,2015
Sri lanka,1,220571.0,2015
Delhi,2,218071.0,2015
Chicago,7,201803.0,2015
Vista,1,196169.0,2015
Concord,2,185342.0,2015
Maine,2,185342.0,2015
Munich,2,174081.0,2015
Nice,2,171281.0,2015
Swan,1,171174.0,2015
Surat,1,168702.0,2015
Kennedy,3,165288.0,2015
Bavaria,1,165212.0,2015
Wilson,1,158649.0,2015
Turkey,4,158046.0,2015
Nevada,5,155171.0,2015
Kingston,4,152164.0,2015
New england,1,134610.0,2015
Boston,1,134610.0,2015
Vermont,1,134610.0,2015
Stonington,1,134610.0,2015
Lotus,1,133500.0,2015
Australia,3,130462.0,2015
Patti,1,127747.0,2015
Norway,8,127393.0,2015
Island,2,125457.0,2015
Fortuna,1,120796.0,2015
Mos,1,113839.0,2015
Hiroshima,1,112686.0,2015
Nagasaki,1,112686.0,2015
Strawberry,5,111952.0,2015
Bruges,4,109987.0,2015
Phnom penh,3,99642.0,2015
Georgia,2,97032.0,2015
Savannah,2,97032.0,2015
Newport,1,96689.0,2015
Oregon,1,96689.0,2015
Messy,1,95402.0,2015
Ubon ratchathani,1,94211.0,2015
Italia,7,92771.0,2015
Grant park,2,92668.0,2015
Amsterdam,4,92643.0,2015
Dwight,1,89968.0,2015
Santa,1,87902.0,2015
Holland,3,85589.0,2015
Netherlands,3,85589.0,2015
Ottawa,5,85426.0,2015
Camden,3,83935.0,2015
Israel,2,80172.0,2015
Estonia,1,77097.0,2015
Tallinn,1,77097.0,2015
Alberta,2,72413.0,2015
Johannesburg,4,71427.0,2015
British columbia,5,66104.0,2015
Jasper,1,65409.0,2015
Taylor,1,65223.0,2015
Yucatan,3,63752.0,2015
Denmark,1,63685.0,2015
Ica,2,63481.0,2015
Mumbai,1,63297.0,2015
United kingdom,2,58961.0,2015
Seoul,2,57594.0,2015
Killarney,2,56393.0,2015
Reyes,1,54579.0,2015
Ada,1,54579.0,2015
Mark,1,54170.0,2015
Brugge,1,51790.0,2015
Mayo,1,51790.0,2015
Venice,2,51663.0,2015
Mystic,1,50732.0,2015
Prince edward island,1,50732.0,2015
Connecticut,1,50732.0,2015
Virginia,1,50732.0,2015
New hampshire,1,50732.0,2015
Albania,1,50588.0,2015
Seward,1,50485.0,2015
Mexico city,2,50411.0,2015
Canoe,4,50142.0,2015
Fredericton,3,49965.0,2015
Brazil,2,46967.0,2015
Farmland,2,46763.0,2015
Mar,1,46300.0,2015
Vicenza,1,46300.0,2015
San marino,1,46300.0,2015
Kola,1,45320.0,2015
Nye,1,44943.0,2015
North beach,1,44528.0,2015
Dover,1,44528.0,2015
Cebu city,1,41161.0,2015
Istanbul,1,40109.0,2015
Macau,1,39262.0,2015
Nasa,1,39240.0,2015
San juan,1,39051.0,2015
Quintana roo,1,38899.0,2015
Kentucky,2,38651.0,2015
Brandenburg,2,36264.0,2015
Six mile,1,35732.0,2015
Sunrise,1,35732.0,2015
River,1,35732.0,2015
Avenue,1,35075.0,2015
Hyde park,1,34081.0,2015
Michigan,1,34081.0,2015
Bhutan,1,31332.0,2015
Crystal river,2,30175.0,2015
Congress,1,29907.0,2015
San roque,1,29511.0,2015
Lambayeque,1,29511.0,2015
Toledo,1,29488.0,2015
Luton,1,27368.0,2015
Croatia,1,24614.0,2015
Gracias,1,24410.0,2015
Stralsund,1,24149.0,2015
Cornish,1,21441.0,2015
Switzerland,2,20811.0,2015
Grecia,1,20582.0,2015
Yangon,2,20154.0,2015
Louisville,1,19894.0,2015
Bergamo,2,18888.0,2015
Bardstown,1,18757.0,2015
Barton,1,18757.0,2015
Usa,1,18415.0,2015
Grand canyon,1,18415.0,2015
National park,1,18415.0,2015
Edmonton,4,17836.0,2015
Graham,1,17388.0,2015
Scotland,2,15165.0,2015
Hanoi,1,14201.0,2015
Park city,1,12945.0,2015
Bliss,1,12493.0,2015
Bell,1,12484.0,2015
Manhattan,1,12432.0,2015
Brooklyn,1,12432.0,2015
Fort lauderdale,1,12425.0,2015
Miami,1,12425.0,2015
Nine,1,12320.0,2015
Jameson,1,11980.0,2015
West berlin,1,11279.0,2015
East berlin,1,11279.0,2015
Russia,1,11256.0,2015
Bulgaria,1,11256.0,2015
Marie,1,10412.0,2015
Andalusia,1,9857.0,2015
Ferrari,1,9727.0,2015
Valencia,1,9537.0,2015
Jamaica,2,9420.0,2015
Prague,1,8869.0,2015
Latvia,1,8869.0,2015
Cuba,1,8754.0,2015
March,1,8606.0,2015
Myanmar,1,8547.0,2015
Merida,1,8389.0,2015
Panama city,1,8174.0,2015
Edinburgh,1,8017.0,2015
Villette,1,7966.0,2015
Paraguay,1,7705.0,2015
Chiavenna,1,7297.0,2015
Las islas,1,7241.0,2015
Scenic,2,7153.0,2015
Albufeira,1,7148.0,2015
Bonn,1,7148.0,2015
Ridge,1,7054.0,2015
Macon,1,6519.0,2015
Castle,1,6519.0,2015
Negril,1,5330.0,2015
Dave,1,4928.0,2015
Overland,1,4843.0,2015
La guardia,1,4843.0,2015
Abu dhabi,1,4843.0,2015
Lyon,1,4733.0,2015
Sarah,1,4647.0,2015
Zurich,1,4011.0,2015
Calgary,1,3689.0,2015
Challenge,1,3571.0,2015
Freiburg,1,2908.0,2015
Brampton,1,2908.0,2015
Paul,1,2269.0,2015
Elizabeth,1,2269.0,2015
Lilly,1,2239.0,2015
Justin,1,1447.0,2015
Vou,1,1115.0,2015
Thailand,90,26252068.0,2014
Bangkok,54,16390753.0,2014
Japan,11,9708350.0,2014
Tokyo,10,9690708.0,2014
Shinjuku,2,6068577.0,2014
Ho chi minh city,11,5985512.0,2014
English,20,5309568.0,2014
Canada,43,5092320.0,2014
Finland,27,4343607.0,2014
Germany,40,4274727.0,2014
Yangon,9,3970300.0,2014
Myanmar,8,3944337.0,2014
Belgium,18,3598307.0,2014
London,9,3527070.0,2014
Toronto,31,3313413.0,2014
Chiang mai,21,3221434.0,2014
Hawaii,11,3151827.0,2014
England,7,2817693.0,2014
France,21,2524651.0,2014
United states,13,2214763.0,2014
Berlin,15,2107566.0,2014
Prague,9,1984715.0,2014
Vienna,12,1934921.0,2014
Austria,12,1934921.0,2014
New york,5,1748292.0,2014
Brussels,9,1719919.0,2014
Honolulu,6,1716770.0,2014
United states of america,8,1698364.0,2014
Southwark,1,1688504.0,2014
Boston,1,1688504.0,2014
Spain,12,1463798.0,2014
Ayutthaya,2,1439658.0,2014
Montreal,6,1406262.0,2014
Singapore,6,1308847.0,2014
Indonesia,8,1286161.0,2014
Chiang rai,5,1277110.0,2014
Panama,12,1208020.0,2014
Madrid,8,1198806.0,2014
Malaysia,9,1183275.0,2014
Quebec,6,1131411.0,2014
Seoul,15,1126907.0,2014
Christmas,16,1124998.0,2014
Malta,5,1118709.0,2014
Mdina,4,1117032.0,2014
United kingdom,3,1082039.0,2014
Williamsburg,2,1045850.0,2014
India,13,1019156.0,2014
Italy,5,986703.0,2014
Manhattan,2,971667.0,2014
Lincoln,1,965822.0,2014
Brooklyn,1,965822.0,2014
Vancouver,1,963643.0,2014
Quebec city,3,962365.0,2014
Paris,3,914575.0,2014
Mexico,4,878904.0,2014
Spanish,7,875459.0,2014
West berlin,2,869692.0,2014
East berlin,2,869692.0,2014
Hong kong,3,851379.0,2014
Addis ababa,2,809403.0,2014
Bell center,1,799141.0,2014
Mount royal,1,799141.0,2014
La ville,1,799141.0,2014
Bruges,2,789625.0,2014
Notre dame,2,752869.0,2014
Chicago,2,745497.0,2014
Osaka,1,739424.0,2014
Sears,1,739424.0,2014
Buckingham,1,739424.0,2014
Bali,1,723722.0,2014
Sanur,1,723722.0,2014
Hamburg,8,694020.0,2014
China,9,628039.0,2014
Kuala lumpur,4,620528.0,2014
Nice,2,586038.0,2014
Yangon region,1,555003.0,2014
Edinburgh,6,513143.0,2014
Guatemala,11,504600.0,2014
Ottawa,3,488549.0,2014
Hackney,1,484802.0,2014
Paul,1,484481.0,2014
Brazil,5,478971.0,2014
Sam sen,1,474925.0,2014
Barcelona,5,469250.0,2014
Scotland,7,453668.0,2014
Arizona,5,449732.0,2014
Midnight,3,446884.0,2014
Phoenix,4,441029.0,2014
Australia,14,426278.0,2014
Bento,2,386494.0,2014
Kahuku,1,386372.0,2014
Philippines,1,372863.0,2014
Lindsay,1,372863.0,2014
Nola,2,362498.0,2014
Louisiana,2,362498.0,2014
New orleans,2,362498.0,2014
Salzburg,2,351672.0,2014
Beijing,4,351437.0,2014
Khon kaen,1,326488.0,2014
Fiji,8,310579.0,2014
Antwerp,2,294148.0,2014
Graz,1,288070.0,2014
Santa claus,2,277873.0,2014
Toledo,2,272705.0,2014
Ethiopia,2,268770.0,2014
Florida,2,259934.0,2014
California,3,243207.0,2014
Morogoro,1,220255.0,2014
Waterloo,3,214504.0,2014
Cordoba,1,213195.0,2014
Granada,1,213195.0,2014
Prince edward island,2,206899.0,2014
Spring,1,203966.0,2014
New mexico,1,203966.0,2014
Cambodia,2,201175.0,2014
Wang,1,197273.0,2014
Kami,1,194635.0,2014
Melaka,1,194635.0,2014
Waialua,1,185459.0,2014
Marlin,1,185459.0,2014
Knoxville,2,184812.0,2014
Del rey,1,183917.0,2014
Switzerland,4,182721.0,2014
Catalonia,2,182052.0,2014
Potsdam,1,178097.0,2014
Edam,1,165973.0,2014
Lotus,1,164076.0,2014
Marseille,1,161663.0,2014
Bundaberg,1,155801.0,2014
Jordan,2,149243.0,2014
Ontario,9,138301.0,2014
Cuba,3,134526.0,2014
Radisson,1,131853.0,2014
Fredericton,3,126818.0,2014
Puerto rico,2,126558.0,2014
Oxford,1,124899.0,2014
Orlando,1,120373.0,2014
Hanover,2,117906.0,2014
New brunswick,2,117800.0,2014
Jerusalem,2,116663.0,2014
Edo,1,115894.0,2014
Martin,1,104070.0,2014
Oceana,2,100471.0,2014
Queensland,9,95456.0,2014
Shanghai,4,88326.0,2014
Cologne,2,83436.0,2014
Scottsdale,1,83361.0,2014
Jasper,3,82764.0,2014
Israel,5,80925.0,2014
Virginia,1,80028.0,2014
South beach,1,79602.0,2014
Santa maria,1,78593.0,2014
Nine,1,78593.0,2014
Kanchanaburi,1,77023.0,2014
Alberta,2,76224.0,2014
Asheville,2,72806.0,2014
North carolina,2,72806.0,2014
Hannover,1,69563.0,2014
Turkey,5,67558.0,2014
Czech republic,1,67109.0,2014
Bratislava,1,63602.0,2014
Hungary,1,63602.0,2014
Budapest,1,63602.0,2014
Krakow,1,63602.0,2014
Poland,1,63602.0,2014
Slovenia,1,63602.0,2014
Ljubljana,1,63602.0,2014
Slovakia,1,63602.0,2014
Taiwan,4,60573.0,2014
Tennessee,1,59913.0,2014
Luxembourg,1,59535.0,2014
Segovia,1,59510.0,2014
Leuven,1,58414.0,2014
Provo,1,57967.0,2014
Canoe,1,57276.0,2014
Argentina,1,55195.0,2014
New zealand,2,54934.0,2014
Kansas,1,54702.0,2014
Kingston,4,51000.0,2014
Chiang mai province,1,49621.0,2014
Bolivia,1,49393.0,2014
Sydney,1,49015.0,2014
Farmland,2,47679.0,2014
Mark,1,47611.0,2014
Colorado,2,46366.0,2014
Udon thani,1,43699.0,2014
Dave,4,43522.0,2014
Karl,1,40583.0,2014
Hyde park,1,39486.0,2014
Heidelberg,1,39336.0,2014
Abu dhabi,1,39336.0,2014
Hanoi,1,35559.0,2014
Breckenridge,1,29580.0,2014
Taipei,2,29445.0,2014
San diego,1,27749.0,2014
Rajasthan,1,26781.0,2014
Varanasi,1,26781.0,2014
Buffalo,1,25821.0,2014
Delta,1,25379.0,2014
Cheltenham,1,25159.0,2014
Caledon,1,25159.0,2014
Kentucky,1,23456.0,2014
Bush,2,22631.0,2014
Strawberry,1,22520.0,2014
Paraguay,3,22319.0,2014
Freiburg,1,22204.0,2014
San juan,1,20532.0,2014
Village,1,20048.0,2014
Macau,1,19050.0,2014
March,1,18745.0,2014
Cumberland,1,18609.0,2014
Banana,1,18231.0,2014
Maine,1,17642.0,2014
San pedro,1,14638.0,2014
San marcos,1,14638.0,2014
Usa,3,13894.0,2014
George town,1,13762.0,2014
Georgetown,1,13762.0,2014
Washington,1,13499.0,2014
Rainbow,1,13499.0,2014
Balikpapan,1,13315.0,2014
Currumbin,1,13243.0,2014
Lithuania,1,12149.0,2014
Latvia,1,12149.0,2014
Savannah,2,10861.0,2014
Georgia,2,10861.0,2014
Greece,3,10557.0,2014
Kensington,1,9276.0,2014
Williams,1,9018.0,2014
Nova,1,9018.0,2014
Ghana,2,8821.0,2014
Tunisia,2,8821.0,2014
Holland,1,8677.0,2014
Hanko,1,7880.0,2014
Pinnacle,1,7280.0,2014
Costa rica,1,6540.0,2014
Peru,1,6540.0,2014
Castle hill,1,6371.0,2014
Townsville,1,6371.0,2014
Ohio,3,5217.0,2014
Cleveland,3,5217.0,2014
Michigan,1,5125.0,2014
Illinois,1,4928.0,2014
Kos,1,4893.0,2014
Scenic,1,4670.0,2014
Avignon,1,4449.0,2014
Queensferry,1,3624.0,2014
Las vegas,2,3083.0,2014
Cape coast,1,2281.0,2014
God,1,1907.0,2014
Kenya,1,1570.0,2014
Nevada,1,1037.0,2014
India,60,31163846.0,2013
Bangkok,66,19894086.0,2013
Indonesia,8,16313679.0,2013
Canada,29,16292137.0,2013
Christmas,12,16039808.0,2013
Toronto,4,15809179.0,2013
Kolkata,9,10190498.0,2013
Delhi,12,9206777.0,2013
Thailand,71,8328854.0,2013
Kathmandu,9,8094837.0,2013
Nepal,6,4380191.0,2013
Kenya,3,4243830.0,2013
Mexico,17,3411773.0,2013
Buffalo,3,3312157.0,2013
English,49,3256262.0,2013
Finland,26,3241769.0,2013
China,64,2737377.0,2013
Germany,11,2659249.0,2013
Thor,1,2550292.0,2013
Wisconsin,1,2550292.0,2013
Winnebago,1,2550292.0,2013
Missouri,1,2550292.0,2013
France,8,2546434.0,2013
Varanasi,6,2498471.0,2013
Panama,4,1850544.0,2013
Sichuan,3,1800009.0,2013
London,10,1784251.0,2013
England,10,1716301.0,2013
Bahamas,1,1505966.0,2013
Moon,1,1505966.0,2013
Arizona,15,1490306.0,2013
Beijing,16,1397684.0,2013
Jalpaiguri,2,1290540.0,2013
Pakistan,1,1273320.0,2013
Puri,1,1273320.0,2013
Malaysia,51,1084005.0,2013
Ethiopia,2,982655.0,2013
Addis ababa,2,982655.0,2013
Shanghai,7,967636.0,2013
Hawaii,10,860105.0,2013
United states,16,826636.0,2013
Nagaland,1,813726.0,2013
Shiro,1,780960.0,2013
Paris,4,768989.0,2013
Phoenix,4,749944.0,2013
Lotus,2,725946.0,2013
Chicago,6,716072.0,2013
Chiang mai,25,658884.0,2013
Turkey,16,641897.0,2013
Italy,11,619518.0,2013
Agra,3,607073.0,2013
Kuala lumpur,18,601307.0,2013
Rajasthan,1,559719.0,2013
Jaipur,1,559719.0,2013
Nairobi,1,552849.0,2013
Puerto rico,2,541871.0,2013
Rico,2,541871.0,2013
Portugal,10,541794.0,2013
Berlin,3,510314.0,2013
Brazil,5,506815.0,2013
United states of america,4,475772.0,2013
Bhutan,1,471466.0,2013
United kingdom,1,466494.0,2013
Santa claus,1,455791.0,2013
Cambodia,41,445165.0,2013
Masala,2,407759.0,2013
Los angeles,4,406234.0,2013
Barcelona,4,400606.0,2013
Venice,5,395966.0,2013
Spain,4,386500.0,2013
